name,source,char_count,line_count,structural_complexity,token_diversity,information_density,galois_loss_proxy,difficulty_estimate
complex_state_machine,synthetic/complex,1069,30,0.3550,0.5667,0.9331,0.5814,0.2145
complex_category_theory,synthetic/complex,859,32,0.4100,0.5841,0.7945,0.5689,0.2255
disney_portal_spec,pilots/disney-portal-planner/PROTO_SPEC.md,1558,36,0.5300,0.3435,0.6905,0.5315,0.5875
cli_strategy_tools_skill,docs/skills/cli-strategy-tools.md,848,22,0.3900,0.3273,0.7058,0.4691,0.1205
wasm_survivors_spec,pilots/wasm-survivors-game/PROTO_SPEC.md,1846,54,0.4100,0.3132,0.6639,0.4620,0.3365
moderate_class_def,synthetic/moderate,372,11,0.1900,0.5510,0.7137,0.4374,0.0850
zero_seed_command,.claude/commands/zero-seed.md,1046,28,0.3000,0.3130,0.7055,0.4249,0.3135
rap_coach_spec,pilots/rap-coach-flow-lab/PROTO_SPEC.md,1461,35,0.2650,0.3486,0.6676,0.4067,0.6270
crystallize_command,.claude/commands/crystallize.md,641,18,0.3250,0.3111,0.5944,0.4023,0.2485
polynomial_agent_skill,docs/skills/polynomial-agent.md,837,24,0.1200,0.4870,0.7437,0.3989,0.4815
SOUL_SYSTEM_PROMPT,impl/claude/agents/k/prompts.py,1266,34,0.3100,0.2850,0.6177,0.3961,0.0865
trail_to_crystal_spec,pilots/trail-to-crystal-daily-lab/PROTO_SPEC.md,1222,32,0.1950,0.3209,0.6585,0.3655,0.5955
harden_command,.claude/commands/harden.md,898,26,0.2400,0.2800,0.6030,0.3589,0.3225
spec_template_skill,docs/skills/spec-template.md,764,23,0.2250,0.2818,0.6185,0.3572,0.1610
CONSTITUTIONAL_PROMPT,impl/claude/services/analysis/prompts.py,814,25,0.0600,0.4720,0.6615,0.3435,0.0820
EPISTEMIC_PROMPT,impl/claude/services/analysis/prompts.py,1087,31,0.1550,0.2986,0.6099,0.3274,0.2050
CATEGORICAL_PROMPT,impl/claude/services/analysis/prompts.py,1300,40,0.1250,0.3114,0.6358,0.3248,0.3095
GENERATIVE_PROMPT,impl/claude/services/analysis/prompts.py,634,15,0.0650,0.2921,0.6293,0.2911,0.0170
handoff_command,.claude/commands/handoff.md,627,31,0.0900,0.2128,0.5151,0.2482,0.1050
DIALECTICAL_PROMPT,impl/claude/services/analysis/prompts.py,617,13,0.0400,0.1558,0.6248,0.2444,0.0000
what_command,.claude/commands/what.md,519,28,0.1000,0.1667,0.4480,0.2211,0.1535
CITIZEN_SYSTEM_PROMPT,impl/claude/agents/k/prompts.py,285,10,0.0000,0.2432,0.5053,0.2124,0.0000
metaphysical_fullstack_skill,docs/skills/metaphysical-fullstack.md,708,15,0.0200,0.2245,0.4703,0.2062,0.4270
moderate_api_call,synthetic/moderate,110,3,0.0550,0.2000,0.2318,0.1443,0.0810
simple_add_function,synthetic/simple,27,1,0.0000,0.2857,0.0000,0.0714,0.0000
AGENT_SYSTEM_PROMPT,impl/claude/agents/k/prompts.py,110,5,0.0000,0.1176,0.0955,0.0580,0.0000
simple_hello_world,synthetic/simple,22,1,0.0000,0.0000,0.0000,0.0000,0.0000
simple_list_files,synthetic/simple,6,1,0.0000,0.0000,0.0000,0.0000,0.0000
git_status,synthetic/simple,10,1,0.0000,0.0000,0.0000,0.0000,0.0000
